occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship
"HJO-1","Ribes divaricatum","Ribes divaricatum Douglas","2986132","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Grossulariaceae","Ribes","Ribes divaricatum","Ribes divaricatum","Douglas"
"HJO-2","Polystichum munitum","Polystichum munitum (Kaulf.) C.Presl","2651122","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Dryopteridaceae","Polystichum","Polystichum munitum","Polystichum munitum","(Kaulf.) C.Presl"
"HJO-3","Salix scouleriana","Salix scouleriana Barratt","7587287","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","Salix","Salix scouleriana","Salix scouleriana","Barratt"
"HJO-4","Juniperus scopulorum","Juniperus scopulorum Sarg.","2684773","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Juniperus","Juniperus scopulorum","Juniperus scopulorum","Sarg."
"HJO-5","Collinsia parviflora","Collinsia parviflora Douglas ex Lindl.","5414960","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Collinsia","Collinsia parviflora","Collinsia parviflora","Douglas ex Lindl."
