occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship
"HJO121","Juncus balticus","Juncus balticus Willd.","2702048","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Juncaceae","Juncus","Juncus balticus","Juncus balticus","Willd."
"HJO122","Myosotis discolor","Myosotis discolor Pers.","5341177","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","Myosotis","Myosotis discolor","Myosotis discolor","Pers."
"HJO123","Saxifraga cespitosa","Saxifraga cespitosa L.","3032796","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Saxifragaceae","Saxifraga","Saxifraga cespitosa","Saxifraga cespitosa","L."
"HJO124","Paxistima myrsinites","Paxistima myrsinites (Pursh) Raf.","3169107","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Celastrales","Celastraceae","Paxistima","Paxistima myrsinites","Paxistima myrsinites","(Pursh) Raf."
"HJO125","Aira praecox","Aira praecox L.","5289582","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aira","Aira praecox","Aira praecox","L."
"HJO126","Shepherdia canadensis","Shepherdia canadensis (L.) Nutt.","5372427","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Elaeagnaceae","Shepherdia","Shepherdia canadensis","Shepherdia canadensis","(L.) Nutt."
"HJO127","Carex pensylvanica","Carex pensylvanica Lam.","2724855","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex pensylvanica","Carex pensylvanica","Lam."
"HJO128","Cynosurus cristatus","Cynosurus cristatus L.","2704395","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cynosurus","Cynosurus cristatus","Cynosurus cristatus","L."
"HJO129","Marsippospermum gracile","Marsippospermum gracile (Hook.fil.) Buchenau","2700592","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Juncaceae","Marsippospermum","Marsippospermum gracile","Marsippospermum gracile","(Hook.fil.) Buchenau"
"HJO13","Trifolium dubium","Trifolium dubium Sibth.","5359429","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium","Trifolium dubium","Trifolium dubium","Sibth."
"HJO130","Cirsium arvense","Cirsium arvense (L.) Scop.","3113414","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Cirsium","Cirsium arvense","Cirsium arvense","(L.) Scop."
"HJO131","Myosotis laxa","Myosotis laxa Lehm.","5341182","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","Myosotis","Myosotis laxa","Myosotis laxa","Lehm."
"HJO132","Rubus armeniacus","Rubus armeniacus Focke","2996525","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Rubus","Rubus armeniacus","Rubus armeniacus","Focke"
"HJO133","Veronica americana","Veronica americana (Raf.) Schwein. ex Benth.","3172084","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Veronica","Veronica americana","Veronica americana","(Raf.) Schwein. ex Benth."
"HJO134","Geum macrophyllum","Geum macrophyllum Willd.","5369784","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Geum","Geum macrophyllum","Geum macrophyllum","Willd."
"HJO135","Sherardia arvensis","Sherardia arvensis L.","5339050","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Sherardia","Sherardia arvensis","Sherardia arvensis","L."
"HJO136","Allium cernuum","Allium cernuum Roth","2856745","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","Allium","Allium cernuum","Allium cernuum","Roth"
"HJO137","Carex deweyana","Carex deweyana Schwein.","2723801","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex deweyana","Carex deweyana","Schwein."
"HJO138","Festuca subuliflora","Festuca subuliflora Scribn.","2704973","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Festuca","Festuca subuliflora","Festuca subuliflora","Scribn."
"HJO14","Trifolium repens","Trifolium repens L.","5358748","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium","Trifolium repens","Trifolium repens","L."
"HJO140","Selaginella wallacei","Selaginella wallacei Hieron.","2688237","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Lycopodiopsida","Selaginellales","Selaginellaceae","Selaginella","Selaginella wallacei","Selaginella wallacei","Hieron."
"HJO141","Erythranthe guttata","Erythranthe guttata (DC.) G.L.Nesom","7346102","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Phrymaceae","Erythranthe","Erythranthe guttata","Erythranthe guttata","(DC.) G.L.Nesom"
"HJO142","Pentagramma triangularis","Pentagramma triangularis (Kaulf.) Yatsk., Windham & Wollenw.","5275443","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","Pentagramma","Pentagramma triangularis","Pentagramma triangularis","(Kaulf.) Yatsk., Windham & Wollenw."
"HJO143","Erythranthe alsinoides","Erythranthe alsinoides (Douglas ex Benth.) G.L.Nesom & N.S.Fraga","7346094","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Phrymaceae","Erythranthe","Erythranthe alsinoides","Erythranthe alsinoides","(Douglas ex Benth.) G.L.Nesom & N.S.Fraga"
"HJO144","Monotropa uniflora","Monotropa uniflora L.","2888353","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Monotropa","Monotropa uniflora","Monotropa uniflora","L."
"HJO145","Chimaphila umbellata","Chimaphila umbellata (L.) W.P.C.Barton","2888307","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Chimaphila","Chimaphila umbellata","Chimaphila umbellata","(L.) W.P.C.Barton"
"HJO146","Carex lyngbyei","Carex lyngbyei Hornem.","2725520","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex lyngbyei","Carex lyngbyei","Hornem."
"HJO147","Arabis glabra","Arabis glabra (L.) Bernh.","5376011","EXACT","98","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Turritis","Turritis glabra","Arabis glabra","(L.) Bernh."
"HJO148","Malus fusca","Malus fusca (Raf.) C.K.Schneid.","3001080","EXACT","98","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Sinomalus","Sinomalus fusca","Malus fusca","(Raf.) C.K.Schneid."
"HJO149","Hypericum anagalloides","Hypericum anagalloides Cham. & Schltdl.","3189470","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Hypericaceae","Hypericum","Hypericum anagalloides","Hypericum anagalloides","Cham. & Schltdl."
"HJO15","Trifolium subterraneum","Trifolium subterraneum L.","5359330","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium","Trifolium subterraneum","Trifolium subterraneum","L."
"HJO150","Mentha arvensis","Mentha arvensis L.","2927192","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Mentha","Mentha arvensis","Mentha arvensis","L."
"HJO151","Urtica dioica","Urtica dioica L.","7960979","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Urticaceae","Urtica","Urtica dioica","Urtica dioica","L."
"HJO152","Alnus rubra","Alnus rubra Bong.","2876176","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Alnus","Alnus rubra","Alnus rubra","Bong."
"HJO153","Stellaria crispa","Stellaria crispa Cham. & Schltdl.","5384652","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Stellaria","Stellaria crispa","Stellaria crispa","Cham. & Schltdl."
