occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship
"HJC-1954","Alopecurus geniculatus","Alopecurus geniculatus L.","5290090","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Alopecurus","Alopecurus geniculatus","Alopecurus geniculatus","L."
"HJC-1955","Physocarpus capitatus","Physocarpus capitatus (Pursh) Kuntze","2988390","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Physocarpus","Physocarpus capitatus","Physocarpus capitatus","(Pursh) Kuntze"
"HJC-1956","Stellaria calycantha","Stellaria calycantha (Ledeb.) Bong.","5384608","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Stellaria","Stellaria calycantha","Stellaria calycantha","(Ledeb.) Bong."
"HJC-1957","Daphne laureola","Daphne laureola L.","5420853","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malvales","Thymelaeaceae","Daphne","Daphne laureola","Daphne laureola","L."
"HJC-1958","Hypochaeris radicata","Hypochaeris radicata L.","3093702","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Hypochaeris","Hypochaeris radicata","Hypochaeris radicata","L."
"HJC-1959","Pyrola asarifolia","Pyrola asarifolia Michx.","2888271","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Pyrola","Pyrola asarifolia","Pyrola asarifolia","Michx."
"HJC-1960","Sanguisorba minor","Sanguisorba minor Bertol.","7817383","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Sanguisorba","Sanguisorba minor","Sanguisorba minor","Bertol."
"HJC-1961","Veronica serpyllifolia","Veronica serpyllifolia L.","3172057","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Veronica","Veronica serpyllifolia","Veronica serpyllifolia","L."
"HJC-1962","Trifolium campestre","Trifolium campestre Schreb.","5359477","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium","Trifolium campestre","Trifolium campestre","Schreb."
"HJC-1963","Polygonum spergulariiforme","Polygonum spergulariiforme Meisn. ex Small","5651906","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Polygonum","Polygonum spergulariiforme","Polygonum spergulariiforme","Meisn. ex Small"
