occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship
"28","Rubus ursinus","Rubus ursinus Cham. & Schltdl.","2990646","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Rubus","Rubus ursinus","Rubus ursinus","Cham. & Schltdl."
"29","Gaultheria shallon","Gaultheria shallon Pursh","2882758","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Gaultheria","Gaultheria shallon","Gaultheria shallon","Pursh"
"31","Bromus sterilis","Bromus sterilis L.","2703647","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Bromus","Bromus sterilis","Bromus sterilis","L."
"32","Daucus pusillus","Daucus pusillus Michx.","3034741","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Daucus","Daucus pusillus","Daucus pusillus","Michx."
"33","Heuchera micrantha","Heuchera micrantha Douglas","8365087","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Saxifragaceae","Heuchera","Heuchera micrantha","Heuchera micrantha","Douglas"
"34","Achillea millefolium","Achillea millefolium L.","3120060","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","Achillea millefolium","Achillea millefolium","L."
"35","Vaccinium parvifolium","Vaccinium parvifolium Sm.","2882910","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Vaccinium","Vaccinium parvifolium","Vaccinium parvifolium","Sm."
"37","Vicia gigantea","Vicia L.","2974751","EDITED","97","ACCEPTED","GENUS","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Vicia",,"Vicia","L."
"38","Ribes sanguineum","Ribes sanguineum Pursh","2986130","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Grossulariaceae","Ribes","Ribes sanguineum","Ribes sanguineum","Pursh"
"39","Grindelia integrifolia","Grindelia integrifolia DC.","3146296","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Grindelia","Grindelia integrifolia","Grindelia integrifolia","DC."
"40","Conioselinum gmelinii","Conioselinum gmelinii (Cham. & Schltdl.) J.M.Coult. & Rose","7805048","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Conioselinum","Conioselinum gmelinii","Conioselinum gmelinii","(Cham. & Schltdl.) J.M.Coult. & Rose"
"41","Plantago maritima","Plantago maritima L.","3189755","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Plantago","Plantago maritima","Plantago maritima","L."
"42","Elymus glaucus","Elymus glaucus Buckley","5290269","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Elymus","Elymus glaucus","Elymus glaucus","Buckley"
"43","Thuja plicata","Thuja plicata Donn ex D.Don","2684171","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Thuja","Thuja plicata","Thuja plicata","Donn ex D.Don"
"44","Lonicera hispidula","Lonicera hispidula (Lindl.) Douglas ex Lindl.","7532185","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Lonicera","Lonicera hispidula","Lonicera hispidula","(Lindl.) Douglas ex Lindl."
"45","Acer macrophyllum","Acer macrophyllum Pursh","3189835","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer macrophyllum","Acer macrophyllum","Pursh"
"46","Galium triflorum","Galium triflorum Michx.","2913463","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Galium","Galium triflorum","Galium triflorum","Michx."
"47","Lactuca muralis","Lactuca muralis (L.) Gaertn.","3140320","EXACT","97","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Mycelis","Mycelis muralis","Lactuca muralis","(L.) Gaertn."
"48","Verbascum thapsus","Verbascum thapsus L.","3171949","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Scrophulariaceae","Verbascum","Verbascum thapsus","Verbascum thapsus","L."
"49","Epilobium minutum","Epilobium minutum Lindl.","7644248","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Epilobium","Epilobium minutum","Epilobium minutum","Lindl."
"50","Cerastium holosteoides","Cerastium holosteoides Fr.","6364031","EXACT","97","DOUBTFUL","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Cerastium","Cerastium holosteoides","Cerastium holosteoides","Fr."
"51","Berberis nervosa","Berberis nervosa Pursh","3033877","EXACT","98","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Berberidaceae","Mahonia","Mahonia nervosa","Berberis nervosa","Pursh"
"52","Galium aparine","Galium aparine L.","2913548","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Galium","Galium aparine","Galium aparine","L."
"53","Hieracium albiflorum","Hieracium albiflorum Hook.","3136067","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Hieracium","Hieracium albiflorum","Hieracium albiflorum","Hook."
"54","Lysimachia latifolia","Lysimachia latifolia (Hook.) Cholewa","8072937","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","Lysimachia","Lysimachia latifolia","Lysimachia latifolia","(Hook.) Cholewa"
"55","Festuca occidentalis","Festuca occidentalis Hook.","2705003","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Festuca","Festuca occidentalis","Festuca occidentalis","Hook."
"56","Amelanchier alnifolia","Amelanchier alnifolia (Nutt.) Nutt.","8168485","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Amelanchier","Amelanchier alnifolia","Amelanchier alnifolia","(Nutt.) Nutt."
"57","rosa gymnocarpa","Rosa gymnocarpa Nutt. ex Torr. & A.Gray","3003240","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Rosa","Rosa gymnocarpa","Rosa gymnocarpa","Nutt. ex Torr. & A.Gray"
"58","Anthoxanthum odoratum","Anthoxanthum odoratum L.","2705975","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Anthoxanthum","Anthoxanthum odoratum","Anthoxanthum odoratum","L."
"59","Madia madioides","Madia madioides (Nutt.) Greene","3130716","EXACT","97","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Anisocarpus","Anisocarpus madioides","Madia madioides","(Nutt.) Greene"
"60","Festuca rubra litoralis","Festuca rubra var. litoralis G.Mey.","4932302","EXACT","97","SYNONYM","VARIETY","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Festuca","Festuca rubra","Festuca rubra litoralis","G.Mey."
"61","Bromus vulgaris","Bromus vulgaris (Hook.) Shear","2703655","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Bromus","Bromus vulgaris","Bromus vulgaris","(Hook.) Shear"
"62","Barbarea orthoceras","Barbarea orthoceras Ledeb.","5374604","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Barbarea","Barbarea orthoceras","Barbarea orthoceras","Ledeb."
"63","Egeria densa","Egeria densa Planch.","5329260","EXACT","98","SYNONYM","SPECIES","Plantae","Tracheophyta","Liliopsida","Alismatales","Hydrocharitaceae","Elodea","Elodea densa","Egeria densa","Planch."
"64","Potamogeton richardsonii","Potamogeton richardsonii (A.Benn.) Rydb.","5301198","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton richardsonii","Potamogeton richardsonii","(A.Benn.) Rydb."
"65","Potamogeton praelongus","Potamogeton praelongus Wulfen","5301213","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton praelongus","Potamogeton praelongus","Wulfen"
"66","Carex exsiccata","Carex exsiccata L.H.Bailey","2726663","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex exsiccata","Carex exsiccata","L.H.Bailey"
"67","Carex obnupta","Carex obnupta L.H.Bailey","2722793","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex obnupta","Carex obnupta","L.H.Bailey"
"68","Agrostis gigantea","Agrostis gigantea Roth","2706541","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","Agrostis gigantea","Agrostis gigantea","Roth"
"70","Nuphar polysepala","Nuphar polysepala Engelm.","6434926","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Nymphaeales","Nymphaeaceae","Nuphar","Nuphar polysepala","Nuphar polysepala","Engelm."
"71","Spiraea douglassii","Spiraea douglasii Hook.","3027159","EDITED","96","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Spiraea","Spiraea douglasii","Spiraea douglasii","Hook."
"72","Salix lasiandra","Salix lasiandra Benth.","6362957","EXACT","98","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","Salix","Salix lucida","Salix lasiandra","Benth."
"73","Sparganium emersum","Sparganium emersum Rehmann","2702266","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Typhaceae","Sparganium","Sparganium emersum","Sparganium emersum","Rehmann"
"74","Lemna minor","Lemna minor L.","2867589","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","Lemna","Lemna minor","Lemna minor","L."
"75","Typha latifolia","Typha latifolia L.","5289423","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Typhaceae","Typha","Typha latifolia","Typha latifolia","L."
"76","Myriopphyllum spicatum","Myriophyllum spicatum L.","5361760","EDITED","80","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Haloragaceae","Myriophyllum","Myriophyllum spicatum","Myriophyllum spicatum","L."
"77","Rubus spectabilis","Rubus spectabilis Pursh","2993761","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Rubus","Rubus spectabilis","Rubus spectabilis","Pursh"
"78","Lycopus uniflorus","Lycopus uniflorus Michx.","5341480","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Lycopus","Lycopus uniflorus","Lycopus uniflorus","Michx."
"79","Veronica americana","Veronica americana (Raf.) Schwein. ex Benth.","3172084","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Veronica","Veronica americana","Veronica americana","(Raf.) Schwein. ex Benth."
