"occurrenceID","scientificName"
"HJ-27-1-1","Iris pseudacorus"
"HJ-27-1-10","Montia fontana"
"HJ-27-1-11","Micranthes integrifolia"
"HJ-27-1-12","Micranthes rufidula"
"HJ-27-1-2","Clarkia amoena"
"HJ-27-1-3","Torilis japonica"
"HJ-27-1-4","Osmorhiza berteroi"
"HJ-27-1-5","Stellaria media"
"HJ-27-1-6","Nemophila parviflora"
"HJ-27-1-7","Lactuca muralis"
"HJ-27-1-8","Claytonia perfoliata"
"HJ-27-1-9","Melica subulata"
"HJ-27-2-1","Geranium molle"
"HJ-27-2-10","Nemophila parviflora"
"HJ-27-2-11","Camassia leichtlinii"
"HJ-27-2-12","Allium"
"HJ-27-2-13","Symphoricarpos albus"
"HJ-27-2-14","Clinopodium douglasii"
"HJ-27-2-15","Selaginella wallacei"
"HJ-27-2-16","Racomitrium heterostichum"
"HJ-27-2-17","Brachythecium"
"HJ-27-2-18","Umbilicaria"
"HJ-27-2-19","Mimulus"
"HJ-27-2-2","Micranthes integrifolia"
"HJ-27-2-20","Collinsia"
"HJ-27-2-21","Collinsia parviflora"
"HJ-27-2-22","Trifolium"
"HJ-27-2-3","Micranthes rufidula"
"HJ-27-2-4","Erythranthe guttata"
"HJ-27-2-5","Lithophragma parviflorum"
"HJ-27-2-6","Torilis japonica"
"HJ-27-2-7","Claytonia perfoliata"
"HJ-27-2-8","Montia fontana"
"HJ-27-2-9","Geranium molle"
"HJ-27-3-1","Bromus"
"HJ-27-3-10","Erodium cicutarium"
"HJ-27-3-11","Clarkia amoena"
"HJ-27-3-12","Nemophila parviflora"
"HJ-27-3-13","Bryum"
"HJ-27-3-14","Collinsia grandiflora"
"HJ-27-3-15","Erythranthe alsinoides"
"HJ-27-3-16","Cardamine oligosperma"
"HJ-27-3-17","Micranthes integrifolia"
"HJ-27-3-18","Sedum lanceolatum"
"HJ-27-3-19","Sedum spathulifolium"
"HJ-27-3-2","Aira praecox"
"HJ-27-3-20","Erythranthe guttata"
"HJ-27-3-21","Lithophragma parviflorum"
"HJ-27-3-22",NA
"HJ-27-3-23","Racomitrium canenscens"
"HJ-27-3-24","Aphyllon purpureum"
"HJ-27-3-25","Sinapis arvensis"
"HJ-27-3-26","Pentagramma triangularis"
"HJ-27-3-27","Delphinium menziesii"
"HJ-27-3-28","Agoseris grandiflora"
"HJ-27-3-29","Plectritis congesta"
"HJ-27-3-3","Montia parvifolia"
"HJ-27-3-30","Rumex"
"HJ-27-3-4","Madia gracilis"
"HJ-27-3-5","Lithophragma parviflorum"
"HJ-27-3-6","Galium aparine"
"HJ-27-3-7","Torilis japonica"
"HJ-27-3-8","Alchemilla arvensis"
"HJ-27-3-9","Racomitrium canenscens"
