occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship
"HJ-27-3-14","Collinsia grandiflora","Collinsia grandiflora Douglas ex Lindl.","5414948","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Collinsia","Collinsia grandiflora","Collinsia grandiflora","Douglas ex Lindl."
"HJ-27-3-15","Erythranthe alsinoides","Erythranthe alsinoides (Douglas ex Benth.) G.L.Nesom & N.S.Fraga","7346094","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Phrymaceae","Erythranthe","Erythranthe alsinoides","Erythranthe alsinoides","(Douglas ex Benth.) G.L.Nesom & N.S.Fraga"
"HJ-27-3-16","Cardamine oligosperma","Cardamine oligosperma Nutt.","3046228","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Cardamine","Cardamine oligosperma","Cardamine oligosperma","Nutt."
"HJ-27-3-17","Micranthes integrifolia","Micranthes integrifolia (Hook.) Small","5567654","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Saxifragaceae","Micranthes","Micranthes integrifolia","Micranthes integrifolia","(Hook.) Small"
"HJ-27-3-18","Sedum lanceolatum","Sedum lanceolatum Torr.","5362021","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","Sedum","Sedum lanceolatum","Sedum lanceolatum","Torr."
"HJ-27-3-19","Sedum spathulifolium","Sedum spathulifolium Hook.","5362046","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","Sedum","Sedum spathulifolium","Sedum spathulifolium","Hook."
"HJ-27-3-2","Aira praecox","Aira praecox L.","5289582","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aira","Aira praecox","Aira praecox","L."
"HJ-27-3-20","Erythranthe guttata","Erythranthe guttata (DC.) G.L.Nesom","7346102","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Phrymaceae","Erythranthe","Erythranthe guttata","Erythranthe guttata","(DC.) G.L.Nesom"
"HJ-27-3-21","Lithophragma parviflorum","Lithophragma parviflorum (Hook.) Nutt. ex Torr. & A.Gray","8408864","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Saxifragaceae","Lithophragma","Lithophragma parviflorum","Lithophragma parviflorum","(Hook.) Nutt. ex Torr. & A.Gray"
"HJ-27-3-22","NA",,,"NONE","100",,,,,,,,,,,
"HJ-27-3-23","Racomitrium canenscens","Racomitrium canescens Bridel, 1819","2674333","EDITED","95","ACCEPTED","SPECIES","Plantae","Bryophyta","Bryopsida","Grimmiales","Grimmiaceae","Racomitrium","Racomitrium canescens","Racomitrium canescens","Bridel, 1819"
"HJ-27-3-24","Aphyllon purpureum","Aphyllon purpureum (A.Heller) Holub","3738656","EXACT","98","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Aphyllon","Aphyllon uniflorum","Aphyllon purpureum","(A.Heller) Holub"
"HJ-27-3-25","Sinapis arvensis","Sinapis arvensis L.","3047598","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Sinapis","Sinapis arvensis","Sinapis arvensis","L."
