Element Code,Scientific Name,English Name,Biogeoclimatic Units,Provincial,BC List,Global,COSEWIC,SARA,Provincial FRPA,Land Use Objectives,CDC Mapped Locations - Public,CDC Mapped Locations - Confidential
PDBAL01040,Impatiens capensis,spotted touch-me-not,,SNA (2019),Exotic,G5 (2016),,,,,,
PDBAL01050,Impatiens ecornuta,spurless touch-me-not,,S3S4 (2019),Yellow,G3G4 (1993),,,,,,
PDBAL01060,Impatiens glandulifera,policeman's helmet,,SNA (2019),Exotic,GNR,,,,,,
PDBAL01070,Impatiens noli-tangere,common touch-me-not,,S5 (2019),Yellow,G5 (2019),,,,,,
PDBAL010A0,Impatiens parviflora,small touch-me-not,,SNA (2019),Exotic,GNR,,,,,,
PDAST55020,Inula helenium,elecampane,,SNA (2019),Exotic,GNR,,,,,,
PDASTE4040,Ionactis stenomeres,Rocky Mountain aster,,S3S4 (2019),Yellow,G4 (2016),,,,,,
PDPLM06018,Ipomopsis aggregata ssp. aggregata,scarlet gilia,,S5 (2019),Yellow,G5T5 (2016),,,,,,
PMIRI092H0,Iris missouriensis,western blue iris,,SNA (2019),Exotic,GNR,T,1-SC,,,,
PMIRI090T0,Iris pseudacorus,yellow iris,,SNA (2019),Exotic,GNR,,,,,,
PMIRI090Y0,Iris sibirica,Siberian iris,,SNA (2019),Exotic,GNR,,,,,,
PMIRI092F0,Iris x germanica,German iris,,SNA,Exotic,GNR,,,,,,
PDBRA1K010,Isatis tinctoria,dyer's woad,,SNA (2019),Exotic,GNR,,,,,,
PPISO01040,Isoetes echinospora,spiny-spore quillwort,,S5 (2019),Yellow,G5 (2016),,,,,,
PPISO011B0,Isoetes howellii,Howell's quillwort,,S3? (2022),Blue,GNR,,,,,Y,
PPISO01100,Isoetes maritima,coastal quillwort,,S5 (2019),Yellow,G4 (2011),,,,,,
PPISO01081,Isoetes minima,Columbia quillwort,ICHdw,S1S2 (2019),Red,G1G2 (2015),E,,,,Y,
PPISO010F0,Isoetes nuttallii,Nuttall's quillwort,,S3S4 (2019),Yellow,G4? (2011),,,,,,
PPISO01110,Isoetes occidentalis,western quillwort,,S5 (2019),Yellow,G4G5 (2011),,,,,,
PPISO01350,Isoetes x marensis,Mara Lake quillwort,IDFxh,S2 (2016),Red,GNA,,,,,Y,
PPISO01360,Isoetes x pseudotruncata,northwest coast quillwort,,SNA (2016),No Status,GNA,,,,,,
PPISO01170,Isoetes x truncata,truncated quillwort,,SNA (2021),No Status,GNA (2016),,,,,,
PMCYP0Q080,Isolepis cernua,low clubrush,,S5 (2019),Yellow,G5 (2016),,,,,,
PMCYP0Q1E0,Isolepis setacea,bristle clubrush,,SNA (2019),Exotic,GNR,,,,,,
NBHEP1Y060,Isopaches bicrenatus var. bicrenatus,,,SU (2021),Unknown,G5T5 (2018),,,,,,
NBHEP1Y1C0,Isopaches decolorans,,,SU (2021),Unknown,GNR,,,,,,
NBMUS3X010,Isopterygiopsis muelleriana,,CWH,S1S2 (2015),Red,G5 (2015),,,,,,
NBMUS3X040,Isopterygiopsis pulchella,,,S4S5 (2011),Yellow,G5 (2015),,,,,,
NBMUS3Z080,Isothecium cardotii,,,SNR,Not Reviewed,GNR,,,,,,
NBMUS3Z010,Isothecium cristatum,,,S4? (2011),Yellow,GU (2000),,,,,,
NBMUS3Z020,Isothecium stoloniferum,,,SNR,Not Reviewed,GNR,,,,,,
PDASTER010,Isotoma fluviatilis,blue-star creeper,,SNA (2019),Exotic,GNR,,,,,,
PDAST58060,Iva axillaris,poverty-weed,,SU (2019),Unknown,G5 (2016),,,,,Y,
NBMUS99010,Iwatsukiella leucotricha,,,S3S4 (2011),Yellow,G4G5 (2005),,,,,,
PDAST8H1U0,Jacobaea vulgaris,tansy ragwort,,SNA (2019),Exotic,GNR,,,,,,
PDAST5B010,Jaumea carnosa,fleshy jaumea,,S3S4 (2019),Yellow,G4G5 (2000),,,,,,
PDJUG02010,Juglans ailantifolia,Japanese walnut,,SNA (2019),Exotic,GNR (1994),,,,,,
PDJUG020A0,Juglans regia,English walnut,,SNA (2019),Exotic,GNR,,,,,,
PMJUN01030,Juncus acuminatus,tapered rush,,S5 (2019),Yellow,G5 (2016),,,,,,
PMJUN01370,Juncus alpinoarticulatus,alpine rush,,S5 (2019),Yellow,G5 (2016),,,,,,
PMJUN012S5,Juncus anthelatus,giant path rush,,SNA (2019),Exotic,GNR,,,,,,
PMJUN01081,Juncus arcticus ssp. alaskanus,arctic rush,,S5 (2019),Yellow,G5T4T5 (2016),,,,,,
PMJUN01090,Juncus articulatus,jointed rush,,S5 (2019),Yellow,G5 (2016),,,,,,
PMJUN010A4,Juncus balticus ssp. ater,Baltic rush,,S5 (2019),Yellow,G5T5 (2016),,,,,,
PMJUN010B0,Juncus biglumis,two-flowered rush,,S5 (2019),Yellow,G5 (2016),,,,,,
PMJUN010C0,Juncus bolanderi,Bolander's rush,,S4 (2019),Yellow,G5 (1990),,,,,,
PMJUN013D0,Juncus brevicaudatus,short-tailed rush,,SU (2019),Unknown,G5 (2015),,,,,,
PMJUN013V0,Juncus breweri,Brewer's rush,,S4 (2019),Yellow,G3G4 (2016),,,,,,
