mounting number,specimen?,match description?,specific epihpet? ,entry_notes,collection number,LabelQty ,Genus,Qualifier,Species,Species Author,Subspecies,Subspecies Author,Variety,Variety Author,Forma,Forma Author,Cultivar,Country,ProvinceState,Location,VLatDegree,VLatMinute,VLatSecond,VLongDegree,VLongMinute,VLongSecond,UTM,Grid Reference,VDatum,VCoordinateUncertainty,Habitat,Altitude,Date Collected,Primary Collector,Other Collectors,Collector Number,Determined By,Determination Date,Field Notes,Original Herbarium,Research Annotation,Citations,Genbank,BOLD Number,Georeference Notes,Extra Notes
12,Y,Y,Y,,HJCB12,1,Ludwigia ,,palustris,,,,,,,,,Canada,British Columbia,"Port Coquitlam, Colony Farm, slough off Coquitlam Road",49,13,40,128,48,38,,,,,"Aquatic; slough; growing with Myriophyllum spicatum, Elodea nuttallii, Potamogeton gramineus, Callitriche heterophylla",,1996 09 01,Harvey Janszen,,,,,page 141 HJ7 ,,,,,,,"specific epiphet in notes but not on page with specimen,  with specimen only says Ludwigia and place and time"
13,Y,Y,Y,,HJCB13,1,Epilobium,,ciliatum ,,ciliatum,,,,,,,Canada,British Columbia,"Qualicum Beach, Hamilton Marsh ",,,,,,,,,,,"Shoreline of marsh; growing with Spiraea douglasii, Menyanthes trifoliata, Juncus effusus, Cicuta douglasii, Brassica, Dulichium arundinaceum, Agrostis scabra, Comarum palustre, Carex lasiocarpa, Carex cusickii, Spirodela polyrhiza, Juncus ensifolius, Hypericum anagalloides, Sphagnum, Erythranthe guttata, Scutellaria galericulata, Carex echinata, Utricularia vulgaris, Myosotis laxa, Veronica scutellata",,1996 08 08,Harvey Janszen,,,,,page 127 HJ7 ,,,,,,,
14,Y,Y,Y,who is MF? ,HJCB14,1,Veronica,,peregrina,,,,,,,,,Canada,British Columbia,"Texada Island, Point East side of Whittaker Bay",,,,,,,10U 417840 5482520,,,,"Growing with Lysimachia minima, Ranunculus flammula, Gratiola ebracteata",7.5 m ,1997 07 19,"Harvey Janszen, Pam Janszen, MF",,,,,"slope 0 percent, aspect 135 degrees SE; collected with collection number 2826; page 45 HJ8",,,,,,,
15,Y,Y,Y,who is JJ? ,HJCB15,1,Potamogeton ,,pusillus,,,,,,,,,Canada,British Columbia,"Texada Island, First Lake, ",,,,,,,,,,,,,1997 08 21,"Harvey Janszen, Pam Janszen, JJ",,,,,"unnumbered check, check collection; page 62 HJ8",,,,,,,
16,Y,Y,N,,HJCB16,1,Potamogeton ,,sp,,,,,,,,,Canada,British Columbia,"Texada Island, Cranby Lake,",,,,,,,,,,,,,1997 08 24,Harvey Janszen,,,,,chunks all pusillus?;  page 80 HJ8,,,,,,,
17,Y,Y,N,,HJCB17,1,Euphorbia,,sp,,,,,,,,,Canada,British Columbia,"Texada Island, Blubber Bay, NW point",,,,,,,,,,,"Roadside; growing with Sedum acre, Allium cernuum, Senecio, Campanula patula",,1997 06 20,Harvey Janszen,,,,,unnumbered sample to check; Euphorbia cyparissias;  page 15 HJ8,,,,,,,
18,Y,Y,Y,,2918,2,Carex,,sylvatica,,,,,,,,,Canada,British Columbia,"Saturna Island, East Point Road",,,,,,,10U 486540 5404510,,,,"Wet meadow off roadside; growing with Scirpus microcarpus, Equisetum arvense, Festuca pratense (Lolium pratense), Cirsium arvense, Stachys chamissonis var. cooleyae, Rumex conglomeratus",65 m,1999 08 21,Harvey Janszen,,2918,,,moderately abundant in orahcrd; approximately 2 ha; slope flat; for Frank Lomer number 750 July 28 [1995]?; page 186 HJ8,,,,,,,"two specimens, for Lomer written on both"
19,N,,,associated specimen? ,2919,1,Sagina ,,decumbens ,,occidentalis,,,,,,,Canada,British Columbia,"Sidney Island, Point",,,,,,,10U 479735 5382177,,,,"Seepy spot at the base of boulder; growing with Montia fontana, Geranium molle, Poa sp., Trifolium oliganthum, Hypochaeris radicata, Plantago elongata",20 m ,2000 04 11,Harvey Janszen,,2919,,,several hundred observed in 10 by 15 m area; rock outcrop slope 25 percent; aspect 210 degrees; page 189 HJ8,,,,,,,
20,N,,,associated specimen? ,2920,1,Scirpus ,,fluviatilis ,,,,,,,,,Canada,British Columbia,"Sidney Island, air strip ponds",,,,,,,10U 477057 5383592,,,,"Manmade ponds in standing water 0.5 m deep; growing with Scirpus (Shoenoplectus) acutus, Salix sitchensis, Eleocharis palustris, Typha  latifolia",10 m ,2000 04 13,Harvey Janszen,,2920,,,forming shoreline bands in 3 shallow ponds at west one of airstrip and 2 ponds at east end of air strip; total cover approximately 200 m2; also at UTM 10U 478031 5384485,,,,,,,new genus name not reflected in verbatim genus
21,M,,,could not decipher some associated species ,2921,1,Heterocodon,,rariflorum,,,,,,,,,Canada,British Columbia,Saltspring Island,,,,,,,10U 467009 5404403,,,,"Seep on rock outcrop; oak meadow; slope 30 percent; aspect 95 degrees; growing with Bryum (Imbribryum miniatum), Mimulus guttatus (Erythranthe guttata), Trifolium dubium, Daucus pusillus, Shepherdia,  Cerastium fontanum",275 m,2000 06 08,Harvey Janszen,"PW, R",2921,,,100 plants in 1 m2 area,,,,,,,
22,N,,,"Check other collector initial , Potential mistake in verbatim UTM 6404336 instead of 5404336, could not decipher some associated species ",2922,1,Carex,,feta,,,,,,,,,Canada,British Columbia,Saltspring Island,,,,,,,10U 466524 5404336,,,,"Disturbed area at top; growing with Deschampsia elongata, Vulpia (Festuca) microstachys, Amelanchier alnifolia, Spergularia rubra",287 m ,2000 06 08,Harvey Janszen,"PW, R ",2922,,,4 clumps ,,,,,,,
23,N,,,could not decipher some associated species ,2923,1,Nymphoides,,peltata,,,,,,,,,Canada,British Columbia,"Denman Island, Morrison Marsh",,,,,,,10U 375317 5483963,,,,"Shallow water and out of mud at waters edge; growing with Lysimachia thyrsiflora, Spirodela polyrhiza, Utricularia vulgaris",0 m ,2000 07 20,Harvey Janszen,Pam Janszen,2923,,,30 to 40 along about 30 m of shoreline ,,,,,,,
24,N,,,repeat observations with this number in 2000 and 2002,2924,1,Glyceria,,occidentalis,,,,,,,,,Canada,British Columbia,Denman Island ,,,,,,,,,,,,,,,,,,,,,,,,,,
25,N,,,repeat observations with this number in 2000 and 2002,2925,,,,,,,,,,,,,Canada,British Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,N,,,Cannot tell if Aira praecox or Saxi int,2926,1,,,,,,,,,,,,Canada,British Columbia,"Metchosin, Albert Head Road",,,,,,,10U 464471 5359753,,,,"Seepy, very shallow soil area; apparently not spreading over rest of plot which is 60 by 100 m ",15 m,2002 03 12,Harvey Janszen,,2926,,,approx 3000 plants per 5 by 5 m; aspect all,,,,,,,
27,N,,,no species cited. Will have to check collection sheet,2927,1,,,,,,,,,,,,Canada,British Columbia,"Metchosin, Weir's Beach RV Resort",,,,,,,10U 459617 5355578,,,,"Shoreline band between crush gravel drive and rock bench with mostly moss; growing with Alchemilla, Erodium, Agrostis sp, Spergularia rubra; also patches in gravel road areas with Montia howellii",2 m ,2002 03 15,Harvey Janszen,,2927,,,,,,,,,,
28,N,,,no species cited. Will have to check collection sheet,2928,1,,,,,,,,,,,,Canada,British Columbia,"Victoria, Pedder Bay Trailor Park",,,,,,,10U 457577 5355162,,,,Roadsides and parking slots on bare gravel ,6 m ,2002 03 15,Harvey Janszen,,2928,,,"2 m by 15 m plot; 2000 plus plants; aspect all, slope flat",,,,,,,
29,N,,,no species cited. Will have to check collection sheet,2929,1,,,,,,,,,,,,Canada,British Columbia,"Sooke, Becher Bay 1, Spirit Bay Marina Drive",,,,,,,10U 455247 5353978,,,,"In gravel in parking area; growing with moss, assorted grasses, Hypochaeris radicata, Trifolium repens, Cerastium sp, Spergularia rubra, Montia howellii",3 m ,2002 03 15,Harvey Janszen,,2929,,,"approx 3500; band 26 by 2 meters; aspect all, slope flat",,,,,,,
30,N,,,could not decipher some associated species ,2930,1,Crassula,,connata,,,,,,,,,Canada,British Columbia,"Saturna Island, in front of Collins at East Point",,,,,,,10U 492768 5401296,,,,"On vertical shore line; growing with Erodium circutarium, Trifolium oliganthum, Stellaria media, Cerastium viscosum (holosteoides), Geranium molle, Claytonia perfoliata, Aira sp",20 m,2002 04 16,Harvey Janszen,,2930,,,veg cover approx 50 percent,,,,,,,
31,N,,,"no species cited. Will have to check collection sheet. Conflicting abundance info, could not decipher some associated species ",2931,1,,,,,,,,,,,,Canada,British Columbia,"Saturna Island, Cactus Point",,,,,,,,,,,Colony at soil rock interface; on steep almost vertical rock face of shady ledges,5 m,2002 04 16,Harvey Janszen,,2931,,,approx 20;  no more in dose search approx 40 m; several good colonies along edge,,,,,,,
32,Y,Y,Y,,2932,1,Allium ,,amplectens,,,,,,,,,Canada,British Columbia,"Metchosin, Rocky Point ",,,,,,,10U 456018 5351518,,,,"Shore line soil pocket with Plantago; growing with Delphinium menziesii, Festuca rubra, Cerastium arvense, Vulpia (Festuca) sp",0 m ,2002 05 29,Harvey Janszen,,2932,,,group of 20; aspect 280 degrees ,,,,,,,
33,Y,,N,"no species cited. Will have to check collection sheet. Scribbles at top of page, might start with a Ceuvy? Ph. But specimen looks like Sagina",2933,1,,,,,,,,,,,,Canada,British Columbia,"Metchosin, Rocky Point ",,,,,,,10U 456012 5351550,,,,"Bare earth at rock and soil seaside transition; growing with Aira praecox, Festuca rubra, Armeria maritima ",,2002 05 29,Harvey Janszen,,2933,,,approx 300 plants in 3 by 0.5 m; Crassula connata at same UTM,,,,,,,
34,Y,Y,N,could not decipher some associated species ,2934,1,Trifolium,,sp,,,,,,,,,Canada,British Columbia,"Metchosin, Rocky Point ",,,,,,,10U 455841 5351630 ,,,,"[Pdeual] see;  growing with Bromus hordeaceus, Anthoxanthum odorantum, Plagiobothrys scouleri, Trifolium midrodon",,2002 05 29,Harvey Janszen,,2934,,,"10 plants; second clump of several, more 100 m west;  aspect 180 degrees, slope flat",,,,,,,
35,Y,Y,N,,2935,1,Sagina,,sp,,,,,,,,,Canada,British Columbia,"Metchosin, Rocky Point ",,,,,,,10U 455434 5351822,,,,"Sea rock pool; growing with Armeria maritima, Plantago maritima",1 m,2002 05 29,Harvey Janszen,,2935,,,approx 50 plants; aspect all ,,,,,,,
36,Y,N,,Hornwort? ,2936,1,,,,,,,,,,,,Canada,British Columbia,"Metchosin, Rocky Point ",,,,,,,10U 455270 5351318,,,,"Shoreline seep just above high water; bare soil below; growing with Hypochaeris radicata, Gaultheria shallon",,2002 05 29,Harvey Janszen,,2936,,,bad UTM,,,,,,,
37,N,,,"on sheet, it says 2936, but I think this is a mistake with labelling",2937,1,Alopecurus ,,carolinianus,,,,,,,,,Canada,British Columbia,,,,,,,,,,,,,,,Harvey Janszen,,,,,,,,,,,,
38,Y,Y,Y,,2938,1,Melica,,harfordii,,,,,,,,,Canada,British Columbia,"Lone Tree Hill, below summit of hill",,,,,,,10U 461920 5374323,,,,"At base of rock outcrops; growing with Elymus glaucus, Polystichum munitum, Sedum spathulithifolium, Cynosurus echinatus, Galium aparine, Poa pratensis, Holodiscus discolor",40 m ,2002 06 19,Harvey Janszen,,2938,,,slope 100 percent,,,,,,,
39,Y,Y,Y,could not decipher some associated species ,2939,1,Clarkia ,,purpurea,,,,,,,,,Canada,British Columbia,"North Cowichan, Mount Tzouhalem Ecological Reserve",,,,,,,10U 453183 5404165,,,1 m ,"Shallow soil, grassy slope; growing with Clarkia amoena, Symphoricarpos albus, Bromus hordeaceus, Festuca bromoides, Lomatium utriculatum, Elymus glaucus, Racomitrium canescens, Camassia leichtlinii, Danthonia californica, Carex inops, Aira caryophyllea, Lotus pedunculatus, Hesperostipa comata",230 m ,2002 06 21,Harvey Janszen,,2939,,,23 plants; SE polygon V0924; slope 25 percent,,,,,,,
40,Y,Y,Y,,2940,1,Rupertia ,,physodes,,,,,,,,,Canada,British Columbia,"North Cowichan, Mount Tzouhalem Ecological Reserve",,,,,,,10U 453493 5403249,,,,"Fir-arbutus woodland;  at edges of vertical cliffs; growing with Rosa gymnocarpa, Hieracium albiflorum, Campanula scouleri, Berberis aquifolium",279 m ,2002 06 21,Harvey Janszen,,2940,,,scattered plants along ridge; 7 plus to several hundred; slope 20 percent; from UTM to cross and prob beyond,,,,,,,updated taxon name from verbatim Psoralea phydoes
41,Y,Y,Y,,2941,1,Melica,,harfordii,,,,,,,,,Canada,British Columbia,"North Cowichan, west edge of Mount Tzouhalem Ecological Reserve",,,,,,,,,,,Rock ravines and ledges; growing with Clarkia and etc.,,2002 06 21,Harvey Janszen,,2941,,,,,,,,,,
