mounting number,specimen?,match description?,entry_notes,collection number,LabelQty ,Genus,Qualifier,Species,Species Author,Subspecies,Subspecies Author,Variety,Variety Author,Forma,Forma Author,Cultivar,Country,ProvinceState,Location,VLatDegree,VLatMinute,VLatSecond,VLongDegree,VLongMinute,VLongSecond,UTM,Grid Reference,VDatum,VCoordinateUncertainty,Habitat,Altitude,Date Collected,Primary Collector,Other Collectors,Collector Number,Determined By,Determination Date,Field Notes,Original Herbarium,Research Annotation,Citations,Genbank,BOLD Number,Georeference Notes,Extra Notes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Y,N,,,1,Carex,,mertensii,,,,,,,,,,,Mount McCain,,,,,,,,,,,,,1998 08 23,Harvey Janszen,,,,,,,,,,,,"No associated notes in field journal, only sourcing from information on the newsprint with specimen"
,Y,Y,,,1,Juncus,,covillei,,,,,,,,,Canada,British Columbia,"Texada Island, first flowing stream West Hydro Point Road",,,,,,,,,,,Near stream; Fen with Ophioglossum,440 m ,1997 08 22,Harvey Janszen,,,,,"check collection; initially identified as Juncus falcatus, crossed out for covillii; page 66 HJ8",,,,,,,
,Y,maybe,,,1,Polygonum,,sp.,,,,,,,,,Canada,British Columbia,"Texada Island, Cranby Lake ",,,,,,,,,,,,,1997 08 24,Harvey Janszen,,,,,associated checks Texada; page 80 HJ8,,,,,,,"Possibly Polygonum amphibia since this was listed as an observation here but the specific epithet was not listed on newspring with specimen, only the genus; on same sheet as Salicornia sp, Juncus sp, and Galeopsis sp"
,Y,maybe,,,1,Salicornia,,sp.,,,,,,,,,Canada,British Columbia,"Texada Island, Stuart Bay",,,,,,,,,,,,,1997 08 24,Harvey Janszen,,,,,associated checks Texada; page  82 HJ8,,,,,,,"Possibly Salicornia virginiana which was observed as an associate species for that locationon; same sheet as Polygonum sp, Juncus sp, and Galeopsis sp"
,Y,N,,,1,Juncus,,sp. ,,,,,,,,,Canada,British Columbia,"Texada Island, Stuart Bay",,,,,,,,,,,,,1997 08 24,Harvey Janszen,,,,,associated checks Texada; page 82 HJ8,,,,,,,"Possibly Juncus gerardii which was observed as an associate species for that locationonon same sheet as Polygonum sp, Salicornia sp, and Galeopsis sp"
,maybe,N,just the flower head? Is that enough??,,1,Galeopsis,,sp. ,,,,,,,,,Canada,British Columbia,"Texada Island, Stuart Bay Road",,,,,,,,,,,,,1997 08 24,Harvey Janszen,,,,,associated checks Texada,,,,,,,"on same sheet as Polygonum sp, Salicornia sp, and Juncus sp"
,Y,maybe,"no colleciton number, in between 2948 and 2949. News paper from March 7 2002",,,Polygonum,,sp,,,,,,,,,Canada,British Columbia,Chris Farms,,,,,,,,,,,,,2002,Harvey Janszen,,,,,,,,,,,,
,Y,N,,,1,Sceptridium,?,multifidum ,,,,,,,,,United States,Montana,"Glacier Park, Lunch Creek, 1 kilometer east of Logan Pass",,,,,,,,,,,,,1999 09 18,"Harvey Janszen, Pam Janszen",,,Emma Menchions,2022 12 18,widespread in upper bowls of Lunch Creek ,,,,,,,"No ID provided in field notes or on newspring, Used iNaturalist to ID genus,  High certainty that in Ophilolosasseae family, medium certainty about species"
,Y,Y,,,1,Torilis,,sp,,,,,,,,,Canada,British Columbia,"Saltspring Island, Mount Tuam",,,,,,,10U 464369 5396717,,,,"Mossy shelf on rock outcrop; Open grassland; Growing with Quercus garryana, Racomitrium canescens, Pteridium aquilinum, Galium aparine, Cynosurus echinatus, Vulpia bromoides, Holcus lanatus, Elymus glaucus, Carex inops",458 m,2002 06 22,Harvey Janszen,,,,,20 plants; 20 more in grass under nearby Quercus garryana; total several thousand in clumps of 10-30 plants; widespread in oak meadow area; slope 20 percent; elevation from GPS,,,,,,,"Was originally collection number 2942 as Yabea microcarpa, but this was crossed out and called Torilis sp; Could not decipher last associated species name in field notes"
