occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship
"HJC-2043","Matthiola incana","Matthiola incana (L.) W.T.Aiton","5377378","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Matthiola","Matthiola incana","Matthiola incana","(L.) W.T.Aiton"
"HJC-2044","Polygonum aviculare","Polygonum aviculare L.","7821030","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Polygonum","Polygonum aviculare","Polygonum aviculare","L."
"HJC-2045","Actaea rubra","Actaea rubra (Aiton) Willd.","5371704","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Actaea","Actaea rubra","Actaea rubra","(Aiton) Willd."
"HJC-2046","Polygonum spergulariiforme","Polygonum spergulariiforme Meisn. ex Small","5651906","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Polygonum","Polygonum spergulariiforme","Polygonum spergulariiforme","Meisn. ex Small"
