"pageNum","numPage","vName","vSciName","conf","sciName","date","locality","country","stateProvince","island","idQualifier","county","occStatus","habitat","assCollTaxa","assColl","locationRemarks","vTaxonRank","vElevM","vLat","vLon","vUTM","vCoordUncM","numPlantsCode","orgQuantity","orgQtype","occRemarks","phenology","recordedBy","idBy","dataEntryRemarks"
10,NA,"Ribes divaricatum (Common Gooseberry)","Ribes divaricatum","m","Ribes divaricatum",1973039,"Saturna Island","Canada","British Columbia","Saturna Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,NA,"Polystichum munitum (Sword fern)","Polystichum munitum","h","Polystichum munitum",19730311,"Saturna Island; Taylor Point","Canada","British Columbia","Saturna Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,NA,"Salix scouleriana (scouler's pussy willow)","Salix scouleriana","h","Salix scouleriana",19730315,"Saturna Island","Canada","British Columbia","Saturna Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,NA,"Juniperus scorpulorum","Juniperus scopulorum","h","Juniperus scopulorum",19730316,"Saturna Island","Canada","British Columbia","Saturna Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,NA,"Collinsia parviflora","Collinsia parviflora","l","Collinsia parviflora",19730316,"Saturna Island","Canada","British Columbia","Saturna Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"grandiflora looks crossed out?"
11,NA,NA,NA,NA,NA,19730319,"Saturna Island; Breezy Bay; near bay",NA,NA,NA,NA,NA,NA,NA,NA,NA,"collected up trail to Breezy Bay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
