pageNum,numPage,recordNum,vName,vSciName,conf,sciName,date,locality,country,stateProvince,island,curationMetadata,idQualifier,county,habitat,locationRemarks,vElevM,vLat,vLon,vUTM,vCoordUncM,numPlantsCode,orgQuantity,orgQtype,occRemarks,phenology,recordedBy,idBy,dataEntryRemarks
16,1,2043,Matthiola incana,Matthiola incana,h,Matthiola incana,19810716,Galiano Island,Canada,British Columbia,Galiano Island,red dot crossed out next to taxon name,NA,NA,NA,set of collections from Montague to Georgeson Bay and up to Sphagnum bog of Gauner Road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,2,2044,Polygonum aviculare,Polygonum aviculare,h,Polygonum aviculare,19810716,Galiano Island,Canada,British Columbia,Galiano Island,red dot crossed out next to taxon name,NA,NA,NA,set of collections from Montague to Georgeson Bay and up to Sphagnum bog of Gauner Road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,3,2045,Actea rubra,Actaea rubra,h,Actaea rubra,19810716,Galiano Island,Canada,British Columbia,Galiano Island,red dot crossed out next to taxon name,NA,NA,NA,set of collections from Montague to Georgeson Bay and up to Sphagnum bog of Gauner Road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,4,2046,Polygonum spergulariiforme,Polygonum spergulariiforme,h,Polygonum spergulariiforme,19810716,Galiano Island,Canada,British Columbia,Galiano Island,red dot crossed out next to taxon name,NA,NA,NA,set of collections from Montague to Georgeson Bay and up to Sphagnum bog of Gauner Road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
