"locality string","country","state","county","latitude","longitude","correction 
                 status","precision","error polygon","multiple results","uncertainty"
"Saturna Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Saturna Island; Taylor Point","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
